name,town,postcode,phone,website,email
Newcroft Primary Academy,Loughborough,LE12 9DU,1509503214.0,www.newcroftprimaryacademy.co.uk,office@newcroft.leics.sch.uk
Ashby Willesley Primary School,Ashby-de-la-Zouch,LE65 2QG,1530413654.0,www.ashbywillesley.org.uk,Reception@willesley.leics.sch.uk
Heatherbrook Primary Academy,Leicester,LE4 1BE,1162357721.0,www.heatherbrook.co.uk/,office@heatherbrook.leicester.sch.uk
Lancaster Academy,Leicester,LE2 6FU,1162703176.0,,admin@lancaster.leicester.sch.uk
Rowlatts Mead Primary Academy,Leicester,LE5 4ES,1162768812.0,www.rowlatts-tmet.uk,
"Hallam Fields, Birstall",Leicester,LE4 3LL,1162670550.0,,DSL@hallamfields.org.uk
Hinckley Parks Primary School,Hinckley,LE10 1LP,1455632556.0,http://www.hinckleyparks.leics.sch.uk,office@hinckleyparks.leics.sch.uk
Sherard Primary School,Melton Mowbray,LE13 1HA,1664565124.0,www.sherardschool.org,info@mowbrayeducation.org
Melton Vale Sixth Form College,Melton Mowbray,LE13 1DN,1664504750.0,www.mv16.org.uk,contactus@mv16.org.uk
Forest Lodge Academy,Leicester,LE3 6LH,1162871220.0,www.forestlodge.leicester.sch.uk/,office@forestlodge.leicester.sch.uk
Judgemeadow Community College,Leicester,LE5 6HP,1162411920.0,,contactus@judgemeadow.leicester.sch.uk
All Saints Church of England Primary School,Wigston,LE18 2AH,1162880013.0,www.allsaintscofe.leics.sch.uk,allsaints@ipat.uk
Sir Jonathan North Girls' College,Leicester,LE2 6FU,1162708116.0,https://www.sirjonathannorth.org.uk,contactus@sirjonathannorth.org.uk
"Holy Cross Catholic School, a Voluntary Academy",Leicester,LE2 6TY,1162833135.0,,enquiries@ofsted.gov.uk
St Peter's Church of England Primary School Whetstone,Leicester,LE8 6NJ,1162775750.0,http://www.stpeterswhetstone.co.uk/,info@active-together.org
Manorfield Church of England Primary School,Leicester,LE9 4LU,1455272787.0,http://www.manorfield.leics.sch.uk/,office@manorfield.embracemat.org
Croft Church of England Primary School,Leicester,LE9 3GJ,1455282643.0,http://www.croftprimaryschool.co.uk,admin@croft.embracemat.org
Uplands Infant School,Leicester,LE2 0DR,1162625280.0,www.uplandsinfant.org.uk,office@uplands-inf.leicester.sch.uk
Braunstone Frith Primary Academy,Leicester,LE3 6NF,1162872487.0,www.braunstonefrith.org.uk/,office@braunstonefrith.org.uk
Kestrel Mead Primary Academy,Leicester,LE5 1TG,1162461732.0,www.kestrel-tmet.uk,office@kestrel-tmet.uk
Beauchamp City Sixth Form,Leicester,LE1 6JL,1164979330.0,https://www.beauchampcity.org.uk/,info@beauchampcity.org.uk
Millgate School,Leicester,LE2 6DW,1162704922.0,www.millgateschool.co.uk,office@millgate.discoverytrust.org
Hollycroft Primary School,HINCKLEY,LE10 3GL,1455241171.0,https://www.hollycroftschool.co.uk/,office@hollycroft.leics.sch.uk
Inglehurst Infant School,Leicester,LE3 9FS,1162622479.0,,dsl@inglehurst-inf.leicester.sch.uk
Buckminster Primary School,Grantham,NG33 5RZ,1476860315.0,,admin@buckminsterprimary.org
Buswells Lodge Primary School,Leicester,LE4 0PT,1162352129.0,,jwhatley@buswellslodge.leicester.sch.uk
Wellington Place Primary School,Market Harborough,LE16 7BY,1858451023.0,https://wellingtonplaceprimary.co.uk/,Office@dsatwellingtonplace.org
Shenton Primary School,Leicester,LE5 3FP,1162628778.0,www.shenton.leicester.sch.uk/,office@shenton.leicester.sch.uk
Normanton-On-Soar Primary School,Loughborough,LE12 5HB,1509842326.0,,office@nosps.co.uk
