name,town,postcode,phone,website,email
Beacon Academy,Loughborough,LE11 2NF,1509212227.0,www.thebeaconacademy.org,contactus@liftbeacon.org
Outwoods Edge Primary School,Loughborough,LE11 2LD,1509216177.0,http://www.outwoodsedge.leics.sch.uk,chair@oedge.net
Asfordby Hill Primary School,Melton Mowbray,LE14 3QX,1664812244.0,www.asfordbyhill.leics.sch.uk,admin@asfordbyhill.leics.sch.uk
Great Dalby School,Melton Mowbray,LE14 2HA,1664562750.0,http://www.greatdalbyprimaryschool.co.uk,
The Pastures Primary School,Leicester,LE19 3YP,1162867738.0,www.pastures-primary.leics.sch.uk,office@pasturesprimary.com
Beauchamp College,Leicester,LE2 5TP,1162729100.0,http://www.beauchamp.org.uk,info@beauchamp.org.uk
Battling Brook Primary School,Hinckley,LE10 0EX,1455634701.0,http://www.bbrook.leics.sch.uk/,office@battlingbrook.uk
Brocks Hill Primary School,Leicester,LE2 5WP,1162714885.0,https://www.brockshill.org.uk,office@brockshill.org.uk
Launde Primary School,Leicestershire,LE2 4LJ,1162712261.0,www.launde.leics.sch.uk/,office@launde.leics.sch.uk
Wilbarston Church of England Primary School,Market Harborough,LE16 8QN,1536771252.0,www.wilbarston.northants.sch.uk/,
Hastings High School,Hinckley,LE10 2QE,1455239414.0,http://www.hastings.leics.sch.uk,hastings@hastings.leics.sch.uk
Glenfield Primary School,Leicester,LE3 8DL,,www.glenfield.leics.sch.uk/,office@glenfield.leics.sch.uk
Ab Kettleby Primary School,Melton Mowbray,LE14 3JJ,1664504870.0,www.abkettleby.org,admin@abkettleby.org
Highcliffe Primary School and Community Centre,Leicester,LE4 3DL,1162967600.0,www.highcliffeacademy.org.uk,office@highcliffeacademy.org.uk
Riverside Community Primary School Birstall,Leicester,LE4 4JU,1162107373.0,http://www.riversideacademy.org.uk,admissions@leics.gov.uk
Somerby Primary School,Melton Mowbray,LE14 2PZ,1664504888.0,www.somerby.org.uk,admin@somerby.org.uk
The Cedars Academy,Leicester,LE4 4GH,1162677107.0,www.TheCedarsAcademy.org.uk,schoolenquiries@thecedarsacademy.org.uk
North Mead Primary Academy,Leicester,LE4 9DL,1162767761.0,www.north-tmet.uk,mtaylor@north-tmet.uk
The Grove Primary School,Melton Mowbray,LE13 0HN,1664562554.0,www.meltongrove.org,admin@meltongrove.org
Townlands Church of England Primary School,Leicester,LE9 7FF,1455843859.0,www.townlandsprimary.org/,office@townlands.leics.sch.uk
Rushey Mead Academy,Leicester,LE4 7AN,1162663730.0,www.rushey-tmet.uk,info@rushey-tmet.uk
Little Hill Primary,Wigston,LE18 2GZ,1162811963.0,http://www.littlehill.leics.sch.uk/,office@littlehill-owlsmat.uk
Humberstone Infant Academy,Leicester,LE5 1AE,1162767648.0,,send@humberstoneacademy.co.uk
Uplands Junior L.E.A.D. Academy,Leicester,LE2 0DR,1162538407.0,,office@uplandsacademy.co.uk
Fernvale Primary School,Leicester,LE7 9PR,1162416722.0,www.fernvale.leics.sch.uk,office@fernvale.leics.sch.uk
