name,town,postcode,phone,website,email
Beaumont Lodge Primary School,Leicester,LE4 1DT,1162366925.0,www.beaumontlodgeprimary.co.uk,office@beaumontlodge.leicester.sch.uk
Parks Primary School,Leicester,LE3 9NS,1162872414.0,www.parksprimary.org/,office@parks.leicester.sch.uk
Slater Primary School,Leicester,LE3 5AS,1162624587.0,www.slater.leicester.sch.uk,office@slater.leicester.sch.uk
Billesdon Church of England Primary School,Leicester,LE7 9AG,1162596327.0,www.billesdon.leics.sch.uk,Officestaff@billesdon.leics.sch.uk
Burbage Church of England Infant School,Hinckley,LE10 2AE,1455239391.0,www.burbageinfants.org/,office@burbageinfants.org
"All Saints Church of England Primary School, Coalville",Coalville,LE67 3LB,1530832608.0,,Office@allsaints-coalville.leics.sch.uk
Great Glen St Cuthbert's Church of England Primary School,Leicester,LE8 9EQ,1162592764.0,www.stcuthberts.leics.sch.uk,office@stcuthberts.leics.sch.uk
Harby Church of England Primary School,Melton Mowbray,LE14 4BZ,1949860553.0,www.harbyprimary.org,office.school@harby.leics.sch.uk
"St Mary's Church of England Primary School, Hinckley",Hinckley,LE10 1AW,1455637477.0,www.stmarys.leics.sch.uk/,office@stmarys.leics.sch.uk
St Bartholomew's Church of England Primary School,Loughborough,LE12 8HQ,1509412250.0,www.st-bartholomews.leics.sch.uk,office@st-bartholomews.leics.sch.uk
Wymeswold Church of England Primary School,Loughborough,LE12 6TU,1509880561.0,http://www.wymeswold.leics.sch.uk,admin@wymeswold.leics.sch.uk
Kilby St Mary's Church of England Primary School,Wigston,LE18 3TD,1162402434.0,www.kilby.leics.sch.uk,office@kilby.leics.sch
Nether Hall School,Leicester,LE5 1RT,1162417258.0,https://www.netherhall.leicester.sch.uk/,office@netherhall.leicester.sch.uk
Madani Girls' School,Leicester,LE5 5LL,1162498080.0,https://madani.school,office@madanihigh.leicester.sch.uk
Oaklands School,Leicester,LE5 6GJ,1162415921.0,,office@oaklands.leicester.sch.uk
West Gate School,Leicester,LE3 6DG,1162552187.0,www.westgate.leicester.sch.uk,careers@westgate.leicester.sch.uk
Glebelands Primary School,Leicester,LE4 2WF,1162340010.0,www.glebelands.leicester.sch.uk/,office@glebelands.leicester.sch.uk
New College Leicester,Leicester,LE3 6DN,1162318500.0,www.newcollege.leicester.sch.uk,enquiries@newcollege.leicester.sch.uk
Caldecote Community Primary School,Leicester,LE3 1FF,1162824482.0,www.caldecote.leicester.sch.uk/,office@caldecote.leicester.sch.uk
Greenfield Primary School,Leicester,LE8 5SG,1162773584.0,http://greenfieldprimary.net/,preschool@greenfield.leics.sch.uk
Elmbrook School,Leicester,LE5 1DT,1162081470.0,www.pru.leicester.sch.uk,office@elmbrook.leicester.sch.uk
Rolleston Primary School,Leicester,LE2 9PT,1162782300.0,www.rolleston.leicester.sch.uk,office@rolleston.leicester.sch.uk
Oakfield School,Shepshed,LE12 9DB,1162759150.0,www.oakfield.leics.sch.uk/,Georgina.Cole@leics.gov.uk
Limehurst Academy,Loughborough,LE11 1NH,1509263444.0,http://www.limehurst.org.uk,Office@limehurst.org.uk
Kibworth Mead Academy,Leicester,LE8 0LG,1162792238.0,www.kibworth-tmet.uk,info@kibworth-tmet.uk
