name,town,postcode,phone,website,email
Burton-on-the-Wolds Primary School,Loughborough,LE12 5TB,1509880298.0,www.burton-on-the-wolds-school.org/,head@burton-on-the-wolds.leics.sch.uk
Woodstone Community Primary School,Coalville,LE67 2AH,1530519473.0,www.woodstoneprimary.co.uk,admissions@leics.gov.uk
New Swannington Primary School,Coalville,LE67 5DQ,1530832656.0,www.newswanningtonprimary.org.uk/,office@new-swann.leics.sch.uk
Griffydam Primary School,Coalville,LE67 8HU,1530222281.0,http://www.griffydam.leics.sch.uk,office@griffydam.leics.sch.uk
Barwell Infant School,Leicester,LE9 8HG,1455842310.0,www.barwellinfantschool.co.uk/,admissions@leics.gov.uk
Kegworth Primary School,Derby,DE74 2DA,1509672382.0,www.kegworthprimary.org,office@kegworthprimary.org
Newton Burgoland Primary School,Coalville,LE67 2SL,1530270320.0,www.newburland.leics.sch.uk/,admin@newburland.leics.sch.uk
Worthington School,Ashby-de-la-Zouch,LE65 1RQ,1530222319.0,www.worthington.leics.sch.uk,information@worthington.leics.sch.uk
Blaby Thistly Meadow Primary School,Leicester,LE8 4FE,1162775648.0,www.thistlymeadow.net/,office@thistlymeadow.leics.sch.uk
Thorpe Acre Junior School,Loughborough,LE11 4SQ,1509214974.0,www.thorpeacrejuniorschool.co.uk,office@taj.leics.sch.uk
Elizabeth Woodville Primary School,Leicester,LE6 0GT,1162876050.0,www.elizabethwoodvilleprimaryschool.co.uk,office@elizabethwoodvilleprimaryschool.co.uk
Burbage Junior School,Hinckley,LE10 2AD,1455630970.0,http://www.burbage-jun.leics.sch.uk/,office@burbage-jun.leics.sch.uk
Warren Hills Community Primary School,Coalville,LE67 4TA,1530834030.0,http://www.warrenhills.leics.sch.uk,office@warrenhills.leics.sch.uk
Sketchley Hill Primary School Burbage,Hinckley,LE10 2DY,1455238640.0,www.sketchleyhill.leics.sch.uk,pta@sketchleyhill.leics.sch.uk
Catherine Junior School,Leicester,LE4 6AZ,1162625896.0,www.catherine-jun.leicester.sch.uk/,c.office@catherine-jun.leicester.sch.uk
Granby Primary School,Leicester,LE2 8LP,1162298160.0,http://www.granby.leicester.sch.uk,info@granby.leicester.sch.uk
Rushey Mead Primary School,Leicester,LE4 6RB,1162661114.0,www.rusheymead-pri.leicester.sch.uk/,info@active-together.org
Shaftesbury Junior School,Leicester,LE3 0QE,1162549203.0,http://www.shaftesbury.leicester.sch.uk,office@shaftesbury.leicester.sch.uk
Wyvern Primary School,Leicester,LE4 7HH,1162661408.0,www.wyvern.leicester.sch.uk/,Info@wyvern.leicester.sch.uk
Barley Croft Primary School,Leicester,LE4 0UT,1162359008.0,www.barleycroft.leicester.sch.uk/,office@barleycroft.leicester.sch.uk
Eyres Monsell Primary School,Leicester,LE2 9AH,1162773855.0,www.eyresmonsell.leicester.sch.uk/,areilly@eyresmonsell.leicester.sch.uk
The Hall School,Leicester,LE3 8PQ,1162873582.0,www.thehallprimary.com/,
Whitehall Primary School,Leicester,LE5 6GJ,1162413087.0,www.whitehallprimary.co.uk/,office@whitehall.leicester.sch.uk
Spinney Hill Primary School,Leicester,LE5 5EZ,1162737047.0,www.spinneyhill.leicester.sch.uk/,admin@spinneyhill.leicester.sch.uk
Scraptoft Valley Primary School,Leicester,LE5 1NG,1162413444.0,www.scraptoftvalley.leicester.sch.uk,admin@scraptoftvalley.leicester.sch.uk
